AAS;KREBS 
ABK;FLIRE 
ACC;HORK 
ACH;FJELDØRRED 
AES;REJEKONGE 
AFT;PANSERULK 
AJQ;VANDMAND 
ALB;HVID TUN 
ALF;BERYXARTER 
ALK;ALASKASEJ 
ALV;RÆVEHAJ 
ANE;ANSJOS 
APU;STØR 
ARG;STRØMSILDARTER 
ARU;GULDLAKS 
ARY;STRØMSILD 
BFT;BLÅFINNET TUN 
BIB;SKÆGTORSK 
BLI;BYRKELANGE  
BLL;SLETHVARRE 
BON;ATLANTISK BONITO 
BOR;HAVGALT 
BRB;ALM. HAVRUDE 
BSF;SORT SABELFISK 
BSH;BLÅHAJ 
BSK;BRUGDE 
BSS;BARS 
BWD;HVIDNÆSE 
BXD;NORDISK BERYX 
CAA;ATLANTISK HAVKAT 
CAP;LODDE 
CAS;HAVKAT, PLETTET 
CAT;HAVKAT 
CEP;BLÆKSPRUTTE 
CHR;BRØDDING 
CLQ;MOLBOØSTERS 
CLV;VENUSMUSLING 
CMO;HAVMUS 
COC--HMX-;HJERTEMUSLING BRUTTO 
COD;TORSK 
COE;ALMINDELIG HAVÅL 
CPR;ALM.REJER 
CRE;TASKEKRABBE 
CRG;STRANDKRABBE 
CRQ;ARKTISK KRABBE 
CSH;HESTEREJE 
CTB;TOBÅNDET HAVRUDE 
CTC;SEPIABLÆKSPRUTTE 
CUX;SØPØLSE 
DAB;ISING 
DBO;ØRESVIN 
DCO;DELFIN, ALMINDELIG 
DEC;TANDBRASEN 
DEX;DENTEXARTER 
DGS;PIGHAJ 
EGF;EDDERFUGL 
ELE---BLK;BLANKE ÅL 
ELE---GUL;GULE ÅL 
ELP;ÅLEKVABBE 
ENC;FIRTRÅDET HAVKVABBE 
ENQ;SNIPPE 
EOI;ELEDONEBLÆKSPRUTTE 
EPI;TELESKOPKARDINALFISK 
ETX;SORTHAJ 
FAC;GLASREJE 
FBM;BRASEN 
FBU;KNUDE 
FCC;KARUSSE 
FCP;KARPE 
FLE;SKRUBBE 
FNO;MALLEMUK 
FPE;ABORRE 
FPI;GEDDE 
FPP;SANDART 
FRI;AUXIDE 
FRO;SKALLER 
FTE;SUDER 
FVE;HELTLING 
GAG;GRÅHAJ 
GAR;HORNFISK 
GCZ;HAVLIT 
GDG;SØLVTORSK 
GFB;SKÆLBROSME 
GHL;HELLEFISK 
GIP;BARRAMUNDI 
GPA;KUTLING 
GRB;STORØJET GRYNEFISK 
GSS;TANGSNARRE 
GTA;HUNDESTEJLE, TREPIGGET 
GUG;KNURHANE, GRÅ 
GUU;KNURHANE, RØD 
HAD;KULLER 
HAF;SØLVØKSEFAMILIEN 
HAL;HELLEFLYNDER 
HBW;ALK 
HER;SILD 
HKE;KULMULE 
HMZ;CUENE-HESTEMAKREL 
HOM;HESTEMAKREL 
HOU;SNÆBEL 
INV;HVIRVELLØSE 
ISY;SKARV 
JAD;SORTBUGET ROKKE 
JAX;HESTEMAKRELARTER 
JOD;SANKT PETERSFISK 
KCS;KONGE KRABBE 
KCT;TROLDKRABBE 
LAU;HAVLAMPRET 
LBE;ALM.HUMMER 
LEE;STOR GAFFELMAKREL 
LEM;RØDTUNGE 
LIN;LANGE 
LQX;SUKKERTANG 
LTA;THUNNIN 
LUM-F--;KULSO 
LUM-M--;STENBIDER 
LVD;KVABBE 
LXX;PRIKFISK 
LYY;STRIBET FLØJFISK 
MAC;MAKREL 
MAS;SPANSK MAKREL 
MAV;LAKSESILD 
MEG;GLASHVARRE 
MON;HAVTASKE 
MOO;PLETTET MÅNEFISK 
MOX;KLUMPFISK 
MSF;TUNGEHVARRE 
MUL;MULTE 
MUR;MULLE, STRIBET 
MUS--BMX-;BLÅMUSLINGER, BRUTTO 
MXV;ULK 
MYG;SLIMÅL 
NBU;KUTLING, SORTMUNDET 
NEP;JOMFRUHUMMER 
NKR;KRILL 
NOP;SPERLING 
ONA;GULDØRRED 
OOA;SLANGEKRABBE 
OPH;PLETTET FLØJFISK 
ORY;ORANGE SAVBUG 
OYF;ØSTERS 
OYG;STILLEHAVSØSTERS 
PER;STRANDSNEGLE 
PHR;MARSVIN 
PIL;SARDIN 
PKV;OLIVENGRYNTEFISK 
PLA;HÅISING 
PLE;RØDSPÆTTE 
PLN;HELT 
POA;HAVBRASEN 
POC;POLAR TORSK 
